ANO,MES,NCM,PAIS_DESTINO,UF_ORIGEM,QUANTIDADE,KG_LIQUIDO,VALOR_USD
2022,10,27090010,249,RJ,235282,203810159,117712056
2022,2,27090010,607,RJ,463293,407098113,247094767
2022,12,27090010,249,RJ,280796,244732641,142132693
2022,11,27090010,361,RJ,307626,272162605,149845544
2022,6,27090010,249,RJ,156997,136886287,105575173
2022,11,27090010,190,RJ,153917,134400225,77329435
2022,7,27090010,249,RJ,152525,141321579,82301851
2022,5,27090010,190,RJ,311725,273174054,184947707
2022,2,27090010,160,SP,230222,200472007,123250829
2022,7,27090010,607,RJ,612543,537569691,398275289
2022,9,27090010,190,RJ,154745,134875989,86555052
2022,12,27090010,160,RJ,444811,390804719,194131087
2022,11,27090010,741,RJ,151565,132184663,76705101
2022,6,27090010,160,RJ,770862,672401063,455636823
2022,8,27090010,160,RJ,305202,268340925,166261809
2022,4,27090010,160,RJ,146209,128560590,87432149
2022,2,27090010,445,RJ,17054,15916351,8637900
2022,5,27090010,160,RJ,236847,206842762,141973367
2022,11,27090010,589,RJ,156988,137556055,77995733
2022,5,27090010,391,RJ,158044,138752259,95115062
2022,3,27090010,160,SP,80188,68609146,54721920
2022,4,27090010,160,RJ,77579,67299625,46124468
2022,5,27090010,538,RJ,0,4,4
2022,5,27090010,160,SP,154674,134634275,92920628
2022,6,27090010,245,SP,78630,68518453,47931318
2022,9,27090010,249,RJ,150778,139762183,72899672
2022,12,27090010,160,RJ,392829,346529092,174910859
2022,9,27090010,158,RJ,158884,139125642,108449394
2022,11,27090010,160,SP,78544,71058463,34135585
2022,12,27090010,361,RJ,80178,74578090,45788401
2022,8,27090010,245,RJ,151222,130247730,93581316
2022,11,27090010,245,SP,140191,122569420,71643120
2022,8,27090010,249,RJ,138842,120630124,88129626
2022,12,27090010,160,SP,346941,307370527,168232329
2022,3,27090010,249,RJ,74991,65301927,42581735
2022,5,27090010,245,RJ,158164,138763504,95342882
2022,2,27090010,249,RJ,140374,122242332,73350520
2022,10,27090010,249,RJ,0,1,4
2022,4,27090010,249,SP,159523,141509076,90830740
2022,1,27090010,158,RJ,155487,136689450,71369057
2022,7,27090010,764,ES,79810,75351889,49370094
2022,3,27090010,160,RJ,1206935,1068867577,587965524
2022,2,27090010,361,RJ,155639,144239630,86669719
2022,2,27090010,190,RJ,465417,408136710,228165722
2022,3,27090010,160,RJ,307331,268284949,198784310
2022,10,27090010,607,RJ,37812,33266575,25414278
2022,12,27090010,160,SP,158228,137553842,70374262
2022,3,27090010,573,RJ,159830,140591774,97139801
2022,2,27090010,538,RJ,157277,137276798,54036793
2022,3,27090010,245,RJ,303346,265894440,175568602
2022,6,27090010,160,RJ,908926,796006672,531857636
2022,12,27090010,361,RJ,155613,136068393,69669523
2022,9,27090010,245,RJ,159409,139661179,89785943
2022,1,27090010,383,RJ,160517,140955466,70210890
2022,7,27090010,160,RJ,152945,135019850,88574779
2022,7,27090010,455,RJ,37609,36506181,22950740
2022,8,27090010,158,RJ,161729,143109180,96203621
2022,9,27090010,249,SP,151886,135140815,68920221
2022,7,27090010,160,SP,226212,202481441,126795569
2022,3,27090010,383,RJ,471377,413364395,289778067
2022,2,27090010,245,SP,152475,138142091,83815973
2022,8,27090010,386,RJ,151480,131593673,93281627
2022,1,27090010,190,RJ,160748,141339698,82980736
2022,4,27090010,190,RJ,150358,132089193,89011357
2022,5,27090010,383,RJ,157257,138170639,94641304
2022,8,27090010,160,SP,158621,138208101,101324731
2022,9,27090010,158,SP,75437,64453386,40831099
2022,7,27090010,845,RJ,153827,136248142,98781663
2022,2,27090010,845,RJ,146737,136485440,80440838
2022,9,27090010,573,RJ,238084,208210159,137356751
2022,4,27090010,160,SP,76810,65764948,49368021
2022,12,27090010,386,RJ,149894,129664029,67104066
2022,12,27090010,628,RJ,0,1120,504
2022,12,27090010,589,RJ,103979,91317925,52271150
2022,4,27090010,160,SP,383131,338709275,247288711
2022,5,27090010,386,SP,157429,136901688,98969771
2022,11,27090010,249,RJ,86586,75347107,43320744
2022,12,27090010,741,RJ,469365,405629925,218614346
2022,6,27090010,190,RJ,156321,135921876,99049253
2022,1,27090010,361,SP,158666,143949490,76804640
2022,6,27090010,249,SP,158870,138534365,102884170
2022,12,27090010,573,RJ,152797,134036821,75955140
2022,8,27090010,158,SP,151703,132270111,86857047
2022,9,27090010,607,RJ,618666,541706513,354351613
2022,10,27090010,249,SP,74044,64729453,36734549
2022,2,27090010,249,RJ,0,6,10
2022,11,27090010,245,RJ,316435,296232282,158879130
2022,8,27090010,160,RJ,234046,206777906,138839236
2022,12,27090010,249,ND,11823,11822518,4218636
2022,2,27090010,249,SP,77447,66255979,38530713
2022,11,27090010,160,RJ,311884,275362736,152052526
2022,10,27090010,275,RJ,37959,33282290,18980442
2022,7,27090010,160,RJ,386912,337432791,256963941
2022,12,27090010,573,RJ,0,0,1100
2022,3,27090010,160,SP,160244,144814680,102764682
2022,9,27090010,249,RJ,270796,235813699,164060789
2022,2,27090010,249,SP,315896,274586962,164384016
2022,6,27090010,249,SP,79900,68202704,55979432
2022,12,27090010,158,RJ,306122,268019432,153028649
2022,4,27090010,158,RJ,160543,140624475,110934120
2022,3,27090010,741,RJ,158101,135982250,89765417
2022,9,27090010,275,RJ,151578,133257193,83071899
2022,2,27090010,455,ES,31186,29193230,14915059
2022,2,27090010,245,RJ,154609,136030107,79565029
2022,5,27090010,249,RJ,5,22,6007
2022,3,27090010,455,ES,151530,142844230,76374704
2022,11,27090010,245,RJ,299255,261462057,151966049
2022,4,27090010,190,RJ,153777,133806092,50695493
2022,12,27090010,249,SP,139447,121980872,69563114
2022,5,27090010,573,ES,52377,49414868,30882321
2022,8,27090010,607,RJ,145012,127252436,89381439
2022,2,27090010,160,RJ,900745,785623578,487131902
2022,12,27090010,383,RJ,153206,134320579,76159609
2022,12,27090010,160,ND,95393,89869556,42702587
2022,10,27090010,249,SP,74002,63375211,40720894
2022,2,27090010,741,RJ,156810,134762679,79486541
2022,1,27090010,361,RJ,144085,133241758,59423300
2022,4,27090010,476,SP,100,100,300
2022,8,27090010,741,RJ,230392,199283598,128859669
2022,6,27090010,160,RJ,78647,73912906,44572847
2022,5,27090010,160,RJ,769700,670529432,473443848
2022,12,27090010,245,RJ,142777,125148434,73116630
2022,3,27090010,741,RJ,156019,136818006,74676590
2022,6,27090010,249,RJ,162669,150208280,94721505
2022,2,27090010,160,RJ,393102,343131042,213695432
2022,2,27090010,158,RJ,462561,405999245,247011157
2022,4,27090010,249,RJ,151056,131954520,89814406
2022,2,27090010,249,SP,150958,131438999,78490309
2022,9,27090010,455,ES,118323,111211620,71957519
